,tissue,simuround,subset,marker,manual_annotation,manual_CLname,manual_CLID,manual_broadtype,gpt-4o-2024-08-06_Clname,gpt-4o-2024-08-06_CLID,RAG_annotation
2500,Lung,5,1.0,"CD79A,IGHM,LINC01781,TNFRSF13B,TNFRSF13C,CD19,PAX5,VPREB3,BLK,MS4A1",b cell,B cell,CL:0000236,b cell,b cell,CL:0000236,B cell
2501,Lung,5,1.0,"SLC5A1,TCN1,PRB1,TTYH1,LINC01829,C6orf58,PRR4,LPO,ANO1,PRB3",serous cell of epithelium of bronchus,serous cell of epithelium of bronchus,CL:1000331,secretory cell,epithelial cell,CL:0000066,salivary gland duct cell
2502,Lung,5,1.0,"CD163,HCLS1,AIF1,MAFB,LST1,MS4A6A,FGL2,CSF1R,FCGR3A,RNASE6",non-classical monocyte,non-classical monocyte,CL:0000875,macrophage/monocyte,macrophage,CL:0000235,nonclassical monocyte
2503,Lung,5,1.0,"MT1M,LRRC32,SLC6A4,TIMP3,RAMP2,FAM107A,CLDN5,CALCRL,FCN3,VWF",capillary endothelial cell,capillary endothelial cell,CL:0002144,endothelial cell,fibroblast,CL:0000057,endothelial cell
2504,Lung,5,1.0,"SPARCL1,HPGD,RAMP2,IL1RL1,EMCN,TIMP3,EDNRB,GNG11,CLDN5,CA4",capillary aerocyte,,,epithelial cell,endothelial cell,CL:0000115,endothelial cell
2505,Lung,5,1.0,"UPK3B,ST6GALNAC5,MYRF,SCEL,NTM,PKDCC,RTKN2,ITLN2,MS4A15,NCKAP5",type i pneumocyte,type I pneumocyte,CL:0002062,epithelial cell,club cell,CL:0000158,unknown cell type
2506,Lung,5,1.0,"VWF,LIFR,C7,PRSS23,CLU,TIMP3,ACKR1,SPARCL1,RAMP3,IGFBP7",vein endothelial cell,vein endothelial cell,CL:0002543,endothelial cell,endothelial cell,CL:0000115,pulmonary endothelial cell
2507,Lung,5,1.0,"DCN,C7,LUM,PTGDS,C1S,FBLN1,MGP,MFAP4,ADH1B,RARRES2",alveolar fibroblast,,,fibroblast,fibroblast,CL:0000057,fibroblast
2508,Lung,5,1.0,"RELN,FOXC2,SCN3B,HOXD9,PROX1,MMRN1,STAB2,GPR182,CCL21,SEMA3D",endothelial cell of lymphatic vessel,endothelial cell of lymphatic vessel,CL:0002138,endothelial cell,endothelial cell of lymphatic vessel,CL:0002138,lymphatic endothelial cell
2509,Lung,5,1.0,"PLAC9,PLN,LMOD1,ACTG2,CRYAB,DES,CNN1,CARMN,MYH11,PPP1R14A",bronchial smooth muscle cell,bronchial smooth muscle cell,CL:0002598,muscle cell,smooth muscle cell,CL:0000192,smooth muscle cell
2510,Lung,5,1.0,"AL357143.1,SPIB,CLEC4C,PLD4,LILRA4,MZB1,FAM129C,AL139020.1,LAMP5,SCT",plasmacytoid dendritic cell,plasmacytoid dendritic cell,CL:0000784,dendritic cell,plasmacytoid dendritic cell,CL:0000784,unknown cell type
2511,Lung,5,1.0,"NEDD4L,SFTPB,WFDC2,SCGB3A2,ELF3,CEACAM6,FOLR1,CYP2B7P,PIGR,GPRC5A",club cell,club cell,CL:0000158,epithelial cell,club cell,CL:0000158,"pulmonary alveolar type 2 cell, club cell"
2512,Lung,5,1.0,"IGFBP7,NPDC1,VWF,PLVAP,C7,CLU,CLDN5,LIFR,ACKR1,SPARCL1",lung microvascular endothelial cell,lung microvascular endothelial cell,CL:2000016,endothelial cell,endothelial cell,CL:0000115,endothelial cell
2513,Lung,5,1.0,"MYH11,C2orf40,COX4I2,BGN,LMOD1,PRELP,CCN5,PDGFRB,GJA4,PPP1R14A",vascular associated smooth muscle cell,vascular associated smooth muscle cell,CL:0000359,muscle cell,smooth muscle cell,CL:0000192,smooth muscle cell
2514,Lung,5,1.0,"FABP7,KCTD8,MKRN9P,PLPPR4,RSPO1,AC005821.1,LRRC38,SYT4,LINC01902,GPR1",myofibroblast cell,myofibroblast cell,CL:0000186,myofibroblast cell,neural progenitor cell,CL:0011020,unknown_cell_type
2515,Lung,5,1.0,"BGN,PDGFRB,NDUFA4L2,RGN,PPP1R14A,KCNK3,TPM2,INMT,COX4I2,HIGD1B",pericyte cell,pericyte,CL:0000669,pericyte,pericyte,CL:0000669,pericyte
2516,Lung,5,1.0,"BCHE,ITLN1,VIPR2,HAS1,SYT4,PRG4,ROR2,CPB1,RSPO1,BNC1",mesothelial cell,mesothelial cell,CL:0000077,epithelial cell,fibroblast,CL:0000057,goblet cell
2517,Lung,5,1.0,"ABCA6,BMP5,AL135910.1,TARID,CACNA1C,SCN7A,CARMN,SGIP1,AC009269.2,COL1A2",fibroblast,fibroblast,CL:0000057,fibroblast,fibroblast,CL:0000057,unknown cell type
2518,Lung,5,1.0,"LILRA1,LILRB2,FCN1,RNASE2,AIF1,MPEG1,CD300E,VCAN,FGL2,CORO1A",intermediate monocyte,intermediate monocyte,CL:0002393,macrophage/monocyte,monocyte,CL:0000576,nonclassical monocyte
2519,Lung,5,1.0,"PROX1,CEL,CLCNKB,DGKI,ATP6V1G3,ASCL3,CLNK,HEPACAM2,TMPRSS11E,LINC01187",pulmonary ionocyte,pulmonary ionocyte,CL:0017000,epithelial cell,epithelial cell,CL:0000066,goblet cell
